"partID","partLabel","partType","shortName","partDesc","partInstr","domain","specimenSet","compartmentSet","group","class","nomenclature","ontologyRef","latExp","mmaSet","unitSet","aggregationScale","aggregationSet","qualityIndSet","missingnessSet","status","firstReleased","lastUpdated","changes","protocolSteps","protocolStepsRequired","protocolStepsOrder","protocolRelationships","protocolRelationshipsRequired","protocolRelationshipsOrder","measures","measuresRequired","measuresOrder","measureSets","measureSetsRequired","measureSetsOrder","datasets","datasetsRequired","datasetsOrder","sites","sitesRequired","sitesOrder","samples","samplesRequired","samplesOrder","addresses","addressesRequired","addressesOrder","contacts","contactsRequired","contactsOrder","organizations","organizationsRequired","organizationsOrder","instruments","instrumentsRequired","instrumentsOrder","polygons","polygonsRequired","polygonsOrder","languages","languagesRequired","languagesOrder","translations","translationsRequired","translationsOrder","parts","partsRequired","partsOrder","sets","setsRequired","setsOrder","qualityReports","qualityReportsRequired","qualityReportsOrder","sampleRelationships","sampleRelationshipsRequired","sampleRelationshipsOrder","protocols","protocolsRequired","protocolsOrder","countries","countriesRequired","countriesOrder","zones","zonesRequired","zonesOrder","refLink","dataType","minValue","maxValue","minLength","maxLength","label_fr","partDescription_fr","partInstruction_fr","nwss","nwssProcess","nwssNotes","ena","enaNotes","norman","normanNote","wSphere","wSphereNotes","ncbi","phage","version1Table","version1Location","version1Variable","version1Category","version1to2Changes"
"phy","Physical property","domains",NA,"A physical property or object not characterized by life or chemistry.	",NA,"phy","anySpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,NA,"active","2.0.0","2.0.0","added in V2.0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"Propriété Physique","Propriété qui n'est pas spécifiée par la composition chimique ou la présence de vie.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Added"
"physical","Physical class","classes",NA,"Measures and methods related to generic physical properties.",NA,"phy","siSaSpecimenSet","anyCompartmentSet","naGroup","physical","naNomenclature",NA,NA,NA,"volumeUnitSet","seeUnitAggScale","naAggrSet","genQualitySet",NA,"active","2.0.0","2.0.0","added in V2.0.0",NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"Classe physique","Spécifie une collection de mesures/méthodes liées à des propriétés physiques génériques.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pK","Primary key","categories",NA,"Primary key for a table. ","All report tables have a primary key. Each row in a report table has unique identifier recorded in the primary key. ","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,NA,"active","2.0.0","2.0.0","added in V2.0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"Clé primaire","Clé primaire pour une table. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pmFloMean","PMMoV- and flow-normalized mean","aggregations",NA,"Mean measure normalized to amount of PMMoV and wastewater flow.","Mostly used for reporting specific alleles (N1, N2, E, etc.)","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet","quantAggScale","naAggrSet","pcrQualitySet",NA,"active","2.0.0","2.0.0","added in V2.0.0","input",NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar","seeUnitVal","seeUnitVal",NA,NA,"Moyenne normalisée en fonction du débit et du PMMoV","Mesure moyenne normalisée à la quantité de PMMoV et au débit d'eaux usées.","Principalement utilisé pour déclarer des allèles spécifiques (N1, N2, E, etc.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pmmovNorm","PMMoV-normalized mean","aggregations",NA,"Mean measure normalized to amount of PMMoV.","Mostly used for reporting specific alleles (N1, N2, E, etc.)","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet","quantAggScale","naAggrSet","pcrQualitySet",NA,"active","2.0.0","2.0.0","added in V2.0.0","input",NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar","seeUnitVal","seeUnitVal",NA,NA,"Moyenne normalisée en fonction du PMMoV","Mesure moyenne normalisée par rapport à la quantité de PMMoV.","Principalement utilisé pour signaler des allèles spécifiques (N1, N2, E, etc.).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"po","Population","specimens",NA,"An measure or observation for a geographic area or population. ","Examples include human compartment measures such as case numbers, hospitalization rates for diseases or surface or air compartment measures such as snow coverage or ambient temperature.","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,NA,"active","1.0.0","2.0.0","added in V2.0.0",NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"Population","Mesure aggrégée de santé publique",NA,NA,NA,NA,NA,NA,"Population served ","SAMPLING SITE / STATION","Population Served","sites",NA,NA,"Polygon","variables","pop",NA,"Restructure"
"pogr","Post-Grit depreciated","categories",NA,"Raw wastewater after a treatment plant's headworks.",NA,"naDomain","naSpecimenSet","waterCompartmentSet","colGrp","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,NA,"depreciated","1.0.0","2.0.0","depreciated, site material like this is now captured in the sample table",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,30,"Post-gravillonnage","Eau usée aprés dégrillage et dessablage.",NA,"tss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Site","variableCategories","SampleTypeDefault","pstGrit",NA
"repOrg2","Secondary reporting authority ID","attributes",NA,"The secondary, additional or alternative authority for rountine surveillance reports or findings, or where the site is located. ","Use the `organizations` table to describe attributes such as the name and address of the organziation. Use `orgType`, `orgLevel` and `orgSector` to describe additional attributes. For example,whether the organization is a government agency (`orgType`), local (`orgLevel`), or public health (`orgSector). If the attributes are not specified, the default is version 1.1.0 `healthRegion`, The health planning authority where is site is located. defined as 'The public health department or region where the site is located.'","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,"genMissingnessSet","active","1.1.0","2.0.0","description wording, structure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"header","optional",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"Région de planification de la santé","L'autorité de planification de la santé où se trouve le site ou l'institut. Voir aussi `publicHealthDepartment`.",NA,"reporting_jurisdiction","reporter",NA,"geographic location (region and locality)",NA,NA,NA,"Admin0 (Country/Region/Sovereignty)?","sites",NA,NA,"Site","variables","healthRegion",NA,NA
"polygons","Polygon table","tables","po","The table that contains information about the geometry of a geographic area.",NA,"naDomain","naSpecimenSet","naCompartmentSet","naGroup","programDescr","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,NA,"active","1.0.0","2.0.0","description wording, structure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"header","mandatory",57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"Table des polygones","La table qui contient des informations sur la géométrie d'une zone géographique.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polygon","Tables",NA,NA,NA
"polygonsOrder","Polygons table column order","tableSupport",NA,"Specifies the order of the columns in a Polygons table.",NA,"naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,NA,"active","2.0.0","2.0.0","added in V2.0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"header","mandatory",59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integer","1",NA,NA,NA,"Ordre des colonnes de la table Polygones","Spécifie l'ordre des colonnes dans une table Polygones.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"polygonsRequired","Polygon table required headers","tableSupport",NA,"Specifies the columns required in a Polygons table.",NA,"naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,NA,"active","2.0.0","2.0.0","added in V2.0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"header","mandatory",58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"Exigences du tableau des polygones","Spécifie les colonnes requises dans une table Polygones.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"polyPop","Polygon Population","attributes",NA,"An attribute of a polygon, which specifies the population of that polygon. A rough estimate of the number of human residents.",NA,"naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,"genMissingnessSet","active","2.0.0","2.0.0","added in V2.0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"header","optional",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integer","0",NA,NA,NA,"Population du polygone","Un attribut d'un polygone, qui spécifie la population de ce polygone. Une estimation approximative du nombre de résidents humains.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pooled","Pooled","attributes",NA,"Is this a pooled sample, and therefore composed of multiple child samples obtained at different sites",NA,"naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,"booleanSet","naUnitSet",NA,"naAggrSet",NA,"genMissingnessSet","active","1.0.0","2.0.0","added in V2.0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"header","optional",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"boolean",NA,NA,0,30,"combiné","S'il s'agit d'un échantillon combiné, c'est-à-dire, est-il composé de plusieurs échantillons ""enfants""?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sample","variables","pooled",NA,"depricate???"
"popDateTypeDep","Type of date for case reporting depreciated","attributes",NA,"Type of date used for confirmed cases. Typically, report or episode are reported. Onset and test date is not usually reported within aggregate data.",NA,"bio","poSpecimenSet","humanCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,"methodConcSet","naUnitSet",NA,"naAggrSet",NA,"genMissingnessSet","depreciated","1.0.0","2.0.0","depreciated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"Type de date pour le rapport des cas","Type de date pour le rapport des cas",NA,"test_result_date","SARSCOV2 Quantification results",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CovidPublicHealthData","variables","dateType",NA,NA
"popDateTypeSet","Case reporting date set","mmaSets",NA,"set for the date of case reporting.",NA,"naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,"popDateTypeSet","naUnitSet",NA,"naAggrSet",NA,NA,"depreciated","1.0.0","2.0.0","added in V2.0.0,depreciated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"categorical",NA,NA,0,30,"Ensemble de catégories de date de déclaration de cas","Ensemble de catégories pour la date de déclaration du cas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"popEq","Population equivalents","units",NA,"A unit for measuring of design capacity for wastewater treatment plants, represented as the approximate amount of water a signle person would use.",NA,"phy","siSpecimenSet","waterCompartmentSet","naGroup","naClass","naNomenclature",NA,"$pe$",NA,"naUnitSet","quantAggScale","linearAggrSet","genQualitySet",NA,"active","1.0.0","2.0.0","description wording, structure; github issue #123","input",NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"float","0",NA,NA,NA,"Équivalents de population","Unité de mesure de la capacité nominale des stations d'épuration des eaux usées, représentée par la quantité approximative d'eau qu'une personne normale utiliserait.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"popGrp","Population group","groups",NA,"A group of measures/methods related to population-level factors.","Examples might be case numbers, hospitalization rates, etc.","allDo","poSpecimenSet","anyCompartmentSet","popGrp","naClass","naNomenclature",NA,NA,NA,"naUnitSet","seeUnitAggScale","naAggrSet",NA,NA,"active","2.0.0","2.0.0","added in V2.0.0",NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"Groupe de population","Un groupe de mesures/méthodes liées à des facteurs de niveau de population.","Il peut s'agir par exemple du nombre de cas, du taux d'hospitalisation, etc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"healthRegion","Health Region for a Site","attributes",NA,"A free-text variable for listing the health region for a given site.",NA,"naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,"genMissingnessSet","active","2.1.0","2.1.0","added in V2.1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"header","optional",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"Région de santé d'un site","Variable de texte libre permettant d'énumérer la région de santé d'un site donné.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"populationUnitSet","Population unit set","unitSets",NA,"Unit set for hospital-related measurements.",NA,"naDomain","naSpecimenSet","humanCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"populationUnitSet","quantAggScale","naAggrSet",NA,NA,"active","2.0.0","2.0.0","added in V2.0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"categorical",NA,NA,0,30,"Ensemble d'unités de population","Ensemble d'unités pour les mesures relatives aux hôpitaux.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poSaSpecimenSet","Population or sample set","specimenSets",NA,"A specimen set that inculdes population or sample specimen.",NA,"naDomain","poSaSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,NA,"active","2.0.0","2.0.0","added in V2.0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"categorical",NA,NA,0,30,"Ensemble de population ou d'échantillons","Un ensemble de spécimens qui comprend des spécimens de population ou d'échantillon.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poSiSpecimenSet","Population or site set","specimenSets",NA,"A specimen set that inculdes population or site specimen.",NA,"naDomain","poSiSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,NA,"active","2.0.0","2.0.0","added in V2.0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"categorical",NA,NA,0,30,"Ensemble de population ou de sites","Un ensemble de spécimens qui comprend des spécimens de population ou de site.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poSpecimenSet","Population specimen set","specimenSets",NA,"A specimen set that inculdes only a population specimen.",NA,"naDomain","poSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,NA,"active","2.0.0","2.0.0","added in V2.0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"categorical",NA,NA,0,30,"Ensemble de spécimens de population","Un ensemble de spécimens qui comprend uniquement un spécimen de population.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pp","Percent positive","units",NA,"Percent positive of sample measures.","Can use for Moore swabs, etc.","bio","siSaSpecimenSet","anyCompartmentSet","naGroup","naClass","naNomenclature",NA,"$\%_{pos}$",NA,"naUnitSet","quantAggScale","linearAggrSet","pcrQualitySet",NA,"active","1.0.0","2.0.0","description wording.","input",NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"float","0","100",NA,NA,"Pourcentage positif","Pourcentage de positifs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WWMeasure","variableCategories","unit","pp",NA
"ppm","parts per million","units",NA,"Parts per million.",NA,"phy","siSaSpecimenSet","anyCompartmentSet","naGroup","naClass","naNomenclature",NA,"$ppm$",NA,"naUnitSet","quantAggScale","linearAggrSet","genQualitySet",NA,"active","1.0.0","2.0.0","description wording.","Input",NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"float","0",NA,NA,NA,"Parties par million","Parties par million.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unit",NA,"Added"
"ppmv","PMMoV-CP","measurements",NA,"Pepper mild mottle virus capsid protein gene region",NA,"bio","saSpecimenSet","anyCompartmentSet","virusMisc","allele","naNomenclature",NA,NA,NA,"geneticUnitSet","seeUnitAggScale","otherAggrSet","genQualitySet","genMissingnessSet","active","1.0.0","2.0.0","description wording, structure",NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seeUnitData","seeUnitVal","seeUnitVal",NA,NA,"PMMoV-CP","Région du gène de la capside du virus de la marbrure légére du piment ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WWMeasure","variableCategories","type","nPMMoV",NA
"pprt","Percent positivity rate","units",NA,"Percent positivity rate of tests conducted within a day in a given region.",NA,"bio","poSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,"$%$",NA,"naUnitSet",NA,"linearAggrSet","genQualitySet",NA,"active","1.0.0","2.0.0","now a unit for any group or biologic infection","input",NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"float","0",NA,NA,NA,"Taux de positivité en pourcentage","Pourcentage de positivité des tests.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CovidPublicHealthData","variableCategories","type","pPosRt",NA
"pps","Percent primary sludge","units",NA,"Percentage of total solids, for primary sludge.",NA,"phy","siSaSpecimenSet","waterCompartmentSet","naGroup","naClass","naNomenclature",NA,"$\%_{primary sludge}$",NA,"naUnitSet","quantAggScale","linearAggrSet","genQualitySet",NA,"active","1.0.0","2.0.0","description wording.","Input",NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"float","0","100",NA,NA,"Pourcentage de boues primaires","Pourcentage de boues primaire (pour solides totaux).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WWMeasure","variableCategories","unit","pps",NA
"precipation","Precipitation class","classes",NA,"Measures and methods related to precipitation.",NA,"phy","siSpecimenSet","anyCompartmentSet","naGroup","precipitation","naNomenclature",NA,NA,NA,"precipitationUnitSet","seeUnitAggScale","naAggrSet","genQualitySet",NA,"active","2.0.0","2.0.0","added in V2.0.0",NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"Classe de précipitation","Spécifie une collection de mesures/méthodes liées à la précipitation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
