partID,partLabel,partType,shortName,partDesc,partInstr,domainID,specimenSet,compSet,groupID,classID,nomenclatureID,ontologyRef,latExp,catSetID,unitSetID,aggScaleID,aggSetID,qualitySetID,status,firstReleased,lastUpdated,changes,protocolSteps,protocolStepsRequired,protocolStepsOrder,protocolRelationships,protocolRelationshipsRequired,protocolRelationshipsOrder,measures,measuresRequired,measuresOrder,measureSets,measureSetsRequired,measureSetsOrder,datasets,datasetsRequired,datasetsOrder,sites,sitesRequired,sitesOrder,samples,samplesRequired,samplesOrder,addresses,addressesRequired,addressesOrder,contacts,contactsRequired,contactsOrder,organizations,organizationsRequired,organizationsOrder,instruments,instrumentsRequired,instrumentsOrder,polygons,polygonsRequired,polygonsOrder,languages,languagesOrder,translations,translationsOrder,parts,sets,setsOrder,qualityReports,qualityReportsRequired,qualityReportsOrder,sampleRelationships,sampleRelationshipsRequired,sampleRelationshipsOrder,protocols,protocolsRequired,protocolsOrder,refLink,dataType,minValue,maxValue,minLength,maxLength
pprt,Percent positivity rate,unit,NA,Percent positivity rate of tests conducted within a day in a given region.,NA,Bio,poSpecimen,naCompartmentSet,naGroup,naClass,naNomenclature,,$%$,NA,naUnitSet,NA,linearAggrSet,genQualitySet,active,1.0,2.0,now a unit for any group or biologic infection,input,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,float,0,NA,NA,NA
pps,Percent Primary Sludge,unit,NA,"Percentage of total solids, for primary sludge.",NA,Phy,siSaSpecimen,waterCompartment,naGroup,naClass,naNomenclature,,$\%_{primary sludge}$,NA,naUnitSet,quantAggScale,linearAggrSet,genQualitySet,active,1.0,2.0,description wording.,Input,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,float,0,100,NA,NA
precipClass,Precipitation class,class,NA,Specifies a collection of measures/methods related to precipitation.,NA,Phy,siSaSpecimen,anyCompartment,naGroup,precipClass,naNomenclature,,NA,NA,naUnitSet,see unit,naAggrSet,NA,active,2.0,2.0,added in version 2,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
precipitationUnitSet,Precipitation Unit Set,unitSet,NA,Unit set for percipitation measurements.,NA,naDomain,naSpecimenSet,anyCompartment,naGroup,naClass,naNomenclature,,NA,NA,precipitationUnitSet,quantAggScale,naAggrSet,NA,active,2.0,2.0,added in version 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,categorical,NA,NA,0,30
pretreat,Pretreatment,method,NA,Was the sample chemically treated in anyway with the addition of stabilizers or other,Pretrement method can be describe using a method. See methodID.,naDomain,saSpecimen,anyCompartment,procGrp,naClass,naNomenclature,,NA,tfCatSet,naUnitSet,NA,naAggrSet,NA,active,1.0,2.0,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,categorical,NA,NA,0,1
priv,Private sector organization type,category,NA,The category of organization type used for private sector or non-profit groups that are not otherwise captured by the academic category.,NA,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in version 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,10
procGrp,Processing group,group,NA,A group of measures/methods related to processing samples for analysis.,NA,allDo,siSaSpecimen,anyCompartment,procGrp,naClass,naNomenclature,,NA,NA,naUnitSet,see unit,naAggrSet,NA,active,2.0,2.0,added in version 2,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
programDescr,Program decription tables class,class,NA,Specifies a class for report tables to indicate that they are program description tables.,"Used o better specify the purpose of report tables, distinct from other classes in this way.",naDomain,naSpecimenSet,naCompartmentSet,naGroup,programDescr,naNomenclature,,NA,NA,naUnitSet,see unit,naAggrSet,NA,active,2.0,2.0,added in version 2,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
promAuto,promega automated tna kit,category,NA,Nucleic acid extraction performed using the promega automated tna kit.,NA,Bio,saSpecimen,anyCompartment,procGrp,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in version 2,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
promHt,promega ht tna kit,category,NA,Nucleic acid extraction performed using the promega ht tna kit.,NA,Bio,saSpecimen,anyCompartment,procGrp,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in version 2,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
promManu,promega manual tna kit,category,NA,Nucleic acid extraction performed using the promega manual tna kit.,NA,Bio,saSpecimen,anyCompartment,procGrp,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in version 2,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
promWW,promega wastewater large volume tna capture kit,category,NA,Nucleic acid extraction performed using the promega wastewater large volume tna capture kit.,NA,Bio,saSpecimen,anyCompartment,procGrp,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in version 2,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
prop,Proportion of total,unit,NA,Proportion as a precent of total.,NA,naDomain,anySpecimen,anyCompartment,naGroup,naClass,naNomenclature,,$\%$,NA,naUnitSet,quantAggScale,linearAggrSet,genQualitySet,active,1.0,2.0,description wording.,input,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,float,0,100,NA,NA
propV,Proportion of variant in sample,unit,NA,Proportion of a variant as percent of total variants.,NA,Bio,saSpecimen,anyCompartment,naGroup,naClass,naNomenclature,,$\%_{total}$,NA,naUnitSet,quantAggScale,linearAggrSet,pcrQualitySet,active,1.1,2.0,description wording.,input,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,float,0,100,NA,NA
protein,Protein class,class,NA,Specifies a collection of measures/methods related to proteins.,NA,Bio,saSpecimen,anyCompartment,naGroup,protein,naNomenclature,,NA,NA,naUnitSet,see unit,naAggrSet,NA,active,2.0,2.0,added in version 2,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
provHA,Access to prov ha,attribute,NA,"If this is 'no', this data will not be available to provincial health authorities. If missing, data will be available to provincial health authorities.",NA,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,booleanSet,naUnitSet,NA,naAggrSet,NA,depreciated,1.0,2.0,depreciated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,boolean,NA,NA,0,1
provisional,Provisional report,category,NA,A provisional or interm report.,Use for measurement that are not yet finalized. Typically this purpose is not publicly reported. ,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in version 2,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
pSludge,Primary clarifier sludge,category,NA,Sludge produced by primary clarifiers,NA,naDomain,naSpecimenSet,waterCompartment,colGrp,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,1.0,2.0,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
orb,Other residential building,category,NA,Individual residential buildings or institutions not captured in other categories,NA,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
pstGrit,Post-grit,category,NA,Raw wastewater after a treatment plant's headworks (post grit or removal of large solids at a treatment plant but priort to a primary clarifier),NA,naDomain,naSpecimenSet,waterCompartment,colGrp,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,1.0,2.0,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
ptDesc,Pre treatment description,attribute,NA,If preTreatment then describe the treatment that was performed.,"Deprecated in version 2, please do not use. Use pretreatment methodID and specify further in summary and/or notes, if necessary.",naDomain,naSpecimenSet,naCompartmentSet,procGrp,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,depreciated,1.0,2.0,depreciated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,255
ptot,Number of positive tests,unit,NA,Number of positive tests conducted within a day in a given region.,NA,Bio,poSpecimen,naCompartmentSet,naGroup,naClass,naNomenclature,,$tests$,NA,naUnitSet,NA,linearAggrSet,genQualitySet,active,1.0,2.0,now a unit for any group or biologic infection,input,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,integer,0,NA,NA,NA
public,Access to public,attribute,NA,"If this is 'no', this data will not be available to the public. If missing, data will be available to the public.",NA,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,booleanSet,naUnitSet,NA,naAggrSet,NA,depreciated,1.0,2.0,depreciated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,boolean,NA,NA,0,1
puro,Puro virus,measure,NA,Measure of the amount of puro virus.,NA,Bio,saSpecimen,anyCompartment,virusMisc,naClass,naNomenclature,,NA,NA,geneticUnitSet,see unit,naAggrSet,genQualitySet,active,2.0,2.0,added in version 2,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,see unit,see unit,see unit,NA,NA
puroMat,Puro virus Spike Target,category,NA,Puro Virus is used as the recovery efficiency control target.,NA,Bio,saSpecimen,anyCompartment,procGrp,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in version 2,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
primerCatSet,Genetic primer category set,catSet,NA,The category set for genetic primers used in sequencing or PCR assays.,NA,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,primerCatSet,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,naUnitSet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,categorical,NA,NA,0,30
collPer,Collection Period,attribute,NA,"Collection period. The time period over which the sample was collected, in hours. Alternatively, use collectionStart and collectionEnd.","Examples: 1 hour, 6 hours, 24 hours",naDomain,naSpecimenSet,naCompartmentSet,colGrp,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,sampleQualitySet,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,header,mandatory,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,float,1,NA,NA,NA
q19e,q19e omicron-variant gene target,measure,NA,q19e omicron-variant gene target,NA,Bio,saSpecimen,anyCompartment,sarsCov2,mutation,naNomenclature,,NA,NA,geneticUnitSet,see unit,naAggrSet,pcrQualitySet,active,2.0,2.0,added in version 2,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,see unit,see unit,see unit,NA,NA
q493r,q493r omicron-variant gene target,measure,NA,q493r omicron-variant gene target,NA,Bio,saSpecimen,anyCompartment,sarsCov2,mutation,naNomenclature,,NA,NA,geneticUnitSet,see unit,naAggrSet,pcrQualitySet,active,2.0,2.0,added in version 2,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,see unit,see unit,see unit,NA,NA
q498r,q498r omicron-variant gene target,measure,NA,q498r omicron-variant gene target,NA,Bio,saSpecimen,anyCompartment,sarsCov2,mutation,naNomenclature,,NA,NA,geneticUnitSet,see unit,naAggrSet,pcrQualitySet,active,2.0,2.0,added in version 2,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,see unit,see unit,see unit,NA,NA
q954h,q954h omicron-variant gene target,measure,NA,q954h omicron-variant gene target,NA,Bio,saSpecimen,anyCompartment,sarsCov2,mutation,naNomenclature,,NA,NA,geneticUnitSet,see unit,naAggrSet,pcrQualitySet,active,2.0,2.0,added in version 2,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,see unit,see unit,see unit,NA,NA
qaqc,Quaility assurance method,method,NA,Quality ass qc,Description of the quality control steps taken,naDomain,anySpecimen,anyCompartment,procGrp,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,depreciated,1.0,2.0,"description wording, deprecated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,100
qf1,No quality concerns,quality,NA,A flag to indicate there is are no quality concern about the measure or sample.,NA,naDomain,naSpecimenSet,anyCompartment,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,genQualitySet,active,1.0,2.0,added in version 2,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,1,1,NA,NA
qf2,Quality concerns,quality,NA,"A flag to indicate there is a quality concern, not otherwise sepcified.",NA,naDomain,naSpecimenSet,anyCompartment,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,genQualitySet,active,1.0,2.0,added in version 2,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,0,0,NA,NA
qgDNARNA,qiagen allprep dna/rna kit,category,NA,Nucleic acid extraction performed using the qiagen allprep dna/rna kit.,NA,Bio,saSpecimen,anyCompartment,procGrp,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in version 2,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
qgDpcr,qiagen digital PCR,category,NA,Describes a PCR analysis done using Qiagen's digital PCR technology.,NA,Bio,saSpecimen,anyCompartment,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,pcrQualitySet,active,2.0,2.0,added in version 2,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
qgEz1,qiagen ez1 virus mini kit v2.0,category,NA,Nucleic acid extraction performed using the qiagen ez1 virus mini kit v2.0.,NA,Bio,saSpecimen,anyCompartment,procGrp,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in version 2,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
qgPwrFecal,qiagen allprep powerfecal dna/rna kit,category,NA,Nucleic acid extraction performed using the qiagen allprep powerfecal dna/rna kit.,NA,Bio,saSpecimen,anyCompartment,procGrp,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in version 2,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
qgPwrViral,qiagen allprep powerviral dna/rna kit,category,NA,Nucleic acid extraction performed using the qiagen allprep powerviral dna/rna kit.,NA,Bio,saSpecimen,anyCompartment,procGrp,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in version 2,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
qgPwrWtr,qiagen powerwater kit,category,NA,Nucleic acid extraction performed using the qiagen powerwater kit.,NA,Bio,saSpecimen,anyCompartment,procGrp,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in version 2,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
qgQiAmp,qiagen qiaamp buffers with epoch columns,category,NA,Nucleic acid extraction performed using the qiagen qiaamp buffers with epoch columns.,NA,Bio,saSpecimen,anyCompartment,procGrp,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in version 2,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
qgRneasy,qiagen rneasy kit,category,NA,Nucleic acid extraction performed using the qiagen rneasy kit.,NA,Bio,saSpecimen,anyCompartment,procGrp,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in version 2,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
qgRneasyPwr,qiagen rneasy powermicrobiome kit,category,NA,Nucleic acid extraction performed using the qiagen rneasy powermicrobiome kit.,NA,Bio,saSpecimen,anyCompartment,procGrp,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in version 2,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
qpcr,Quantitative PCR,category,NA,"Real-time PCR, also called 'quantAggScale' PCR",NA,Bio,saSpecimen,anyCompartment,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in version 2,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
